when,item,dial,range,rel,reading,unit,note
,lead_zero_raw,ohm,600.0,off,0.3,ohm,"step 1a, before REL"
,lead_zero_rep,ohm,600.0,on,0.5,ohm,"step 1b, rep 1 of 10 | REL CONFIRMED ON by operator"
,lead_zero_rep,ohm,600.0,on,0.5,ohm,"step 1b, rep 2 of 10"
,lead_zero_rep,ohm,600.0,on,0.5,ohm,"step 1b, rep 3 of 10"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 4 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 5 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 6 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 7 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 8 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 9 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,lead_zero_rep,ohm,600.0,on,0.4-0.5,ohm,"step 1b, rep 10 of 10 | not itemised; reported mostly 0.5, sometimes 0.4"
,load_100R,ohm,600.0,on,100,ohm,"step 1c, expect ~100.0"
,cal_short,ohm,600.0,on,,ohm,"step 1d, expect near 0"
,cal_open,ohm,60.00M,off,,ohm,"step 1e, MUST be OL"
,diode_across_100R,diode,-,off,,V,"step 1f, reading/100 = test current. expect ~0.15"
,select_order,-,-,-,,-,"step 1h, order the 4 icons appear in"
,load_100R_drift,ohm,600.0,on,,ohm,"step 1g, drift check 1"
,load_100R_drift,ohm,600.0,on,,ohm,"step 1g, drift check 2"
,load_100R_drift,ohm,600.0,on,,ohm,"step 1g, drift check 3"
,sigma_2wire_derived,ohm,600.0,on,0.5,ohm,"derived from step 1b: REL on, re-landings 0.4-0.5 from zero. Resistance floor for the session."
